date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol
2023-04-19,179.1,183.5,177.65,180.59,180.59,125732687,0.0000,1.0,TSLA
2023-04-18,187.15,187.69,183.5775,184.31,184.31,92067016,0.0000,1.0,TSLA
2023-04-17,186.32,189.69,182.69,187.04,187.04,116177121,0.0000,1.0,TSLA
2023-04-14,183.95,186.28,182.01,185.0,185.0,96438664,0.0000,1.0,TSLA
2023-04-13,182.955,186.5,180.94,185.9,185.9,112932985,0.0000,1.0,TSLA
2023-04-12,190.74,191.5846,180.31,180.54,180.54,150256278,0.0000,1.0,TSLA
2023-04-11,186.69,189.19,185.6475,186.79,186.79,115770892,0.0000,1.0,TSLA
2023-04-10,179.94,185.1,176.11,184.51,184.51,142154637,0.0000,1.0,TSLA
2023-04-06,183.08,186.39,179.74,185.06,185.06,123857932,0.0000,1.0,TSLA
2023-04-05,190.515,190.68,183.76,185.52,185.52,133882493,0.0000,1.0,TSLA
2023-04-04,197.32,198.7446,190.32,192.58,192.58,126463845,0.0000,1.0,TSLA
2023-04-03,199.91,202.6897,192.2,194.77,194.77,169545900,0.0000,1.0,TSLA
2023-03-31,197.53,207.79,197.2,207.46,207.46,170222118,0.0000,1.0,TSLA
2023-03-30,195.58,197.33,194.42,195.28,195.28,110252238,0.0000,1.0,TSLA
2023-03-29,193.13,195.29,189.44,193.88,193.88,123660026,0.0000,1.0,TSLA
2023-03-28,192.0,192.35,185.43,189.19,189.19,98654635,0.0000,1.0,TSLA
2023-03-27,194.415,197.39,189.94,191.81,191.81,120851587,0.0000,1.0,TSLA
2023-03-24,191.65,192.36,187.15,190.41,190.41,116531584,0.0000,1.0,TSLA
2023-04-21,139.74,141.11,138.78,140.54,140.54,11842537,0.0000,1.0,JPM
2023-04-20,139.91,141.43,139.84,140.81,140.81,10586245,0.0000,1.0,JPM
2023-04-19,141.23,141.5,140.4,141.22,141.22,9158112,0.0000,1.0,JPM
2023-04-18,140.27,141.78,139.03,141.4,141.4,13760139,0.0000,1.0,JPM
2023-04-17,139.95,140.06,137.66,139.83,139.83,15961327,0.0000,1.0,JPM
2023-04-14,135.15,139.12,134.9001,138.73,138.73,43931328,0.0000,1.0,JPM
2023-04-13,128.46,129.04,126.83,128.99,128.99,12450242,0.0000,1.0,JPM
2023-04-12,129.18,130.43,128.0603,128.5,128.5,11820995,0.0000,1.0,JPM
2023-04-11,128.3,128.94,127.54,128.52,128.52,10516267,0.0000,1.0,JPM
2023-04-10,126.54,128.23,126.22,127.89,127.89,9477292,0.0000,1.0,JPM
2023-04-06,127.0,128.08,126.8553,127.47,127.47,8760220,0.0000,1.0,JPM
2023-04-05,126.8,128.15,126.46,127.61,127.61,9614692,1.0000,1.0,JPM
2023-04-04,130.5,130.59,127.41,128.42,127.421477334577,11579916,0.0000,1.0,JPM
2023-04-03,129.91,131.44,129.41,130.16,129.147948060026,11775388,0.0000,1.0,JPM
2023-03-31,129.66,130.34,128.8514,130.31,129.296781743255,13105215,0.0000,1.0,JPM
2023-03-30,129.95,130.12,127.65,128.75,127.74891143768,12134675,0.0000,1.0,JPM
2023-03-29,130.1,130.22,127.77,129.14,128.135879014074,14595260,0.0000,1.0,JPM
2023-03-28,128.71,129.3417,127.744,128.88,127.877900629811,10820466,0.0000,1.0,JPM
2023-03-27,126.79,129.38,126.29,128.49,127.490933053417,18853935,0.0000,1.0,JPM
2023-03-24,125.63,125.68,123.11,124.91,123.938769147034,22326916,0.0000,1.0,JPM
2023-04-21,235.0,235.568,233.38,234.05,234.05,6771589,0.0000,1.0,V
2023-04-20,232.46,234.67,231.5,234.6,234.6,4925659,0.0000,1.0,V
2023-04-19,234.0,234.06,231.85,232.57,232.57,3833933,0.0000,1.0,V
2023-04-18,233.75,234.33,231.69,233.6,233.6,4796178,0.0000,1.0,V
2023-04-17,234.02,234.05,230.94,233.48,233.48,4048512,0.0000,1.0,V
2023-04-14,232.99,234.99,232.24,234.02,234.02,9781266,0.0000,1.0,V
2023-04-13,229.46,232.84,228.8,232.69,232.69,7615523,0.0000,1.0,V
2023-04-12,229.93,231.59,227.33,227.81,227.81,4373002,0.0000,1.0,V
2023-04-11,227.0,229.135,226.2,228.45,228.45,4513395,0.0000,1.0,V
2023-04-10,225.56,226.48,224.32,226.43,226.43,4952351,0.0000,1.0,V
2023-04-06,226.16,226.73,224.68,225.99,225.99,4285206,0.0000,1.0,V
2023-04-05,226.78,228.47,226.55,228.17,228.17,4813750,0.0000,1.0,V
2023-04-04,229.0,230.05,226.83,227.66,227.66,5254725,0.0000,1.0,V
2023-04-03,225.23,229.16,224.12,229.0,229.0,6421512,0.0000,1.0,V
2023-03-31,223.6,225.84,223.29,225.46,225.46,9508978,0.0000,1.0,V
2023-03-30,223.92,224.235,221.21,222.36,222.36,5383945,0.0000,1.0,V
2023-03-29,222.29,223.55,220.92,223.3,223.3,4482956,0.0000,1.0,V
2023-03-28,222.82,223.33,218.65,220.33,220.33,6418581,0.0000,1.0,V
2023-03-27,222.59,224.08,221.39,221.81,221.81,7211050,0.0000,1.0,V
2023-03-24,220.67,221.33,218.25,221.04,221.04,4792394,0.0000,1.0,V
2023-04-21,164.44,164.97,161.97,162.69,162.69,7014214,0.0000,1.0,JNJ
2023-04-20,162.43,163.82,160.96,163.58,163.58,9498768,0.0000,1.0,JNJ
2023-04-19,161.99,162.68,161.17,162.53,162.53,6752006,0.0000,1.0,JNJ
2023-04-18,164.25,164.69,159.65,161.01,161.01,14571485,0.0000,1.0,JNJ
2023-04-17,165.735,166.24,164.94,165.67,165.67,8034884,0.0000,1.0,JNJ
2023-04-14,165.97,166.115,164.06,165.84,165.84,7225127,0.0000,1.0,JNJ
2023-04-13,164.18,166.33,163.805,166.11,166.11,5640617,0.0000,1.0,JNJ
2023-04-12,163.94,164.84,163.1,163.92,163.92,5764240,0.0000,1.0,JNJ
2023-04-11,164.42,165.28,164.0401,164.27,164.27,5903824,0.0000,1.0,JNJ
2023-04-10,164.63,164.84,163.64,164.32,164.32,5353951,0.0000,1.0,JNJ
2023-04-06,165.99,167.23,164.8,165.15,165.15,9615407,0.0000,1.0,JNJ
2023-04-05,164.37,165.66,162.76,165.61,165.61,16704181,0.0000,1.0,JNJ
2023-04-04,156.97,158.97,156.59,158.49,158.49,8314527,0.0000,1.0,JNJ
2023-04-03,154.95,157.01,153.94,156.85,156.85,6841888,0.0000,1.0,JNJ
2023-03-31,153.79,155.19,153.24,155.0,155.0,9890047,0.0000,1.0,JNJ
2023-03-30,153.58,153.8,152.81,153.43,153.43,4555905,0.0000,1.0,JNJ
2023-03-29,152.24,153.38,152.07,153.31,153.31,6012030,0.0000,1.0,JNJ
2023-03-28,152.39,153.45,151.725,151.82,151.82,6115293,0.0000,1.0,JNJ
2023-03-27,154.2,154.54,153.11,153.3,153.3,6772282,0.0000,1.0,JNJ
2023-03-24,151.48,152.76,150.83,152.65,152.65,5696845,0.0000,1.0,JNJ
2023-04-21,375.72,377.425,373.26,375.24,375.24,3537820,0.0000,1.0,MA
2023-04-20,371.45,375.19,369.69,375.0,375.0,2125035,0.0000,1.0,MA
2023-04-19,372.99,374.15,371.155,372.8,372.8,1795447,0.0000,1.0,MA
2023-04-18,373.95,373.95,369.96,372.32,372.32,2087976,0.0000,1.0,MA
2023-04-17,373.36,374.1,368.39,372.76,372.76,2431374,0.0000,1.0,MA
2023-04-14,370.0,373.39,369.11,372.43,372.43,2254716,0.0000,1.0,MA
2023-04-13,363.82,369.75,363.3887,369.65,369.65,2611866,0.0000,1.0,MA
2023-04-12,366.08,368.6,361.025,361.78,361.78,2268779,0.0000,1.0,MA
2023-04-11,363.42,365.19,361.16,364.13,364.13,3033867,0.0000,1.0,MA
2023-04-10,359.71,360.93,357.58,360.14,360.14,1559126,0.0000,1.0,MA
2023-04-06,361.21,362.035,355.97,361.47,361.47,2357712,0.0000,1.0,MA
2023-04-05,363.48,365.13,361.61,363.79,363.79,2239771,0.5700,1.0,MA
2023-04-04,366.8,369.12,363.38,363.9,363.33071961796,2198730,0.0000,1.0,MA
2023-04-03,362.61,366.66,361.75,366.47,365.896699143704,2978067,0.0000,1.0,MA
2023-03-31,361.13,363.65,360.38,363.41,362.841486167527,3376796,0.0000,1.0,MA
2023-03-30,360.95,362.59,358.24,359.26,358.697978373038,2480656,0.0000,1.0,MA
2023-03-29,357.38,360.025,355.82,359.53,358.967555988583,2327006,0.0000,1.0,MA
2023-03-28,355.56,355.9,352.8014,354.33,353.775690800307,1695997,0.0000,1.0,MA
2023-03-27,355.57,357.89,354.28,354.62,354.065237128115,2420474,0.0000,1.0,MA
2023-03-24,350.45,352.42,346.31,351.63,351.079914644857,2971590,0.0000,1.0,MA
